"Nama","Rating","Tanggal","Ulasan"
"Ucok S.","10","25-May-21","Perfect hotel to staycation or business trip. Check in process was quick and the room spacious with the large bedroom. Thank to chef maha, The breakfast menu has many choices and tastes good, Thank to Front office ( night shift forget the name) and Maya FO she very smart, good attitude, polite with a good hospitality, and Thanks to all staff who were very friendly, quick response and very helpful during my stay. I'll be back soon... swiss bell harbour bay batam is Fantastic."
"Ucok S.","10","25-May-21","Perfect hotel to staycation or business trip. Check in process was quick and the room spacious with the large bedroom. Thank to chef maha, The breakfast menu has many choices and tastes good, Thank to Front office ( night shift forget the name) and Maya FO she very smart, good attitude, polite with a good hospitality, and Thanks to all staff who were very friendly, quick response and very helpful during my stay. I'll be back soon... swiss bell harbour bay batam is Fantastic."
"Ferry N.","9.7","28-May-21","The first choice to stay at Batam"
"Annisa M. F.","9.7","4-Apr-21","The bed really cozy and comfy, got a little view from window. bedroom and bathroom super clean. breakfast also delicious and all the staff are friendly, really nice experience stay in here 😆"
"Haniffa H.","9.7","14-Mar-17","belhotel Swiss sangat dekat dengan Harbourbay terminal dan link dari lantai terminal 2 ke hotel. Lokasi besar dari hotel ke Nagoya itu hanya 5 menit berkendara tingkat di 50.000 rupiah memiliki tinggal yang indah dengan family.From lobi ada yang tangga ke mal di lantai tiga ada Manzur pijat yang murah dan baik ada wanita dan pria pijat adalah memiliki waktu yang baik there.we tinggal di ruangan besar deluxe dan kamar r sangat luas dan raja tidur super dapat menampung 3 orang dewasa dengan mudah berkat"
"kamarul a.","9.7","21-Feb-17","Hotel besar ... lokasi dekat ke jetty"
"Dewi Y.","9.7","12-Sep-17","Layanan bagus dan lokasi bagus."
"Rani U.","9.7","24-Jul-17","Pelayanan yang sangat baik Orang-orang ramah. Saya puas dengan semuanya."
"Kezia F. H.","9.7","9-Dec-17","Hanya bersantai dan bahagia seperti biasanya."
"Hendrik R.","9.7","17-Jan-20","Meskipun kami hanya tinggal selama beberapa jam karena terlambat check-in, menu sarapan pagi yang baik dan berbagai pilihan untuk memilih dari dan kami upgrade ke kamar suite, check in dan check out mudah. Kamar suite sangat bagus, dilengkapi dengan tempat tidur ukuran raja, meja kantor besar, lengkap dengan mini bar, dan itu juga bilik lemari pakaian, dan kamar mandinya juga besar, termasuk bathtub. Direkomendasikan."
"iman s. n.","9.7","3-May-21","Kamar saya adalah luar biasa, sangat bersih karpet dan semua dilengkapi. Apakah harus pelayanan hotel bintang 5."
"Oki Y.","9.7","18-Oct-20","tempat yang bagus untuk tinggal, kamar yang luas dan bersih. Secara keseluruhan nyaman dan cukup memuaskan, satu-satunya kritik saya adalah tolong perhatikan detail terbaik. Saya memesan kamar dengan 1 tempat tidur besar, dan ternyata kamar tersebut memiliki tempat tidur twin yang digabungkan menjadi 1. Saya tidak keberatan karena tempat tidurnya sangat nyaman dan saya tidak ingin tidur di tempat tidur twin yang digabungkan, tetapi setelah memindahkan tempat tidur tolong pastikan untuk membersihkan lantai di bawahnya karena saya melihat ada debu dan kotoran di sana. Juga, AC di kamar saya tidak cukup dingin untuk preferensi saya meskipun saya mengaturnya ke suhu terendah dan pengaturan kipas tertinggi (suhu kamar masih 28,5 C bahkan beberapa jam setelah menyalakan AC). Kamar mandi sangat bersih, pelayanannya mantap. Lokasi juga strategis karena banyak restoran dan bar di dekatnya."
"Ferry T.","9.7","26-Apr-23","Ruangan itu luas. Hotel ini dekat dengan pelabuhan dan terminal ferry."
"Sutrisno A. U.","9.7","3-Aug-22","Hotel ini memberi saya pengalaman yang benar-benar nyaman, proses check-in sederhana dan cepat dengan resepsionis yang ramah dan membantu, saya bahkan mendapat upgrade kamar tanpa biaya tambahan (Terima kasih Adit!) Semua kru hotel juga sangat ramah dan menyenangkan bahkan hanya untuk memasuki hotel yang para tamu selalu dibantu untuk membuka pintu (terlalu banyak tapi baik-baik saja :). Menu sarapannya juga enak dan cukup lengkap. Terima kasih Swiss-Belhotel Harbour Bay atas keramahannya! Pertahankan kerja bagus!"
"James A.","9.7","4-Jun-22","Kamar bersih & luas. Sarapan segar & cukup dekat dengan Pelabuhan Batam & kuliner. Akan tinggal untuk perjalanan berikutnya."
"Kristianto","9.7","31-May-22","Suka sekali! Pasti akan menginap lagi!"
"Bambang H. R.","9.7","3-Oct-21","Hotel terbaik jika menginap di Batam, lokasi strategis, staf ramah."
"Ericcson E.","9.7","9-May-16","Bagus dan memuaskan sangat hotel disana"
"Himawan H.","9.7","2-Apr-16","Hotel nya nyaman dan bersih, walking distance ke pelabuhan kapal ke spore dan cinema blitz kalau lagi pengen nonton. Nice and easy"
"Guest","9.7","3-Sep-16","Lokasi bagus, bersih dan breakfastnya OK. Stafnya friendly."
"Iqram s. p.","9.7","20-Aug-16","Nyaman,bersih, makanan enak, lokasi bagus"
"Guest","9.7","4-Jan-17","HP saya hilang mereka tanggap dan mendapatkan HP saya kembali."
"Jeanny A.","9.7","16-Dec-16","Swiss bell overall good apalagi sarapannya enak semua..cuma kemarin nginep disini agak berisik krna dentuman pintu krna kamar saya berada pas di depan pintu staff bunyi gede sampe anak saya kaget..."
"Andry J.","9.7","15-Mar-17","Bagus..recommended banget deh..mantap.."
"andri p.","9.7","2-Mar-17","Asik lokasinya,, pelayannya ramah2"
"Guest","9.7","19-Jan-17","Bagus dan nyaman, makanan kurang pas dan tidak lengkap."
"hapsari k. p.","9.7","9-May-17","Hotelnya enak, nyaman, dekat dengan pelabuhan"
"Wijayanti W.","9.7","7-Feb-18","Kamarnya bersih dan wangi, pelayanannya bagus dan makanan enak"
"Ozy M.","9.7","23-Jan-18","Over all semuanya bagus. Hanya saja transport keluar dari hotel agak sulit."
"dicky j.","9.7","21-Oct-17","Variasi sarapannya banyak. Bersih, fast respon"
"Yiq A.","9.7","8-May-18","Tersedia banyak fasilitas di sekitar hotel, spa, pub, restoran seafood yang oke, tinggal jalan kaki dari hotel, supermaket bahkan kalau kita mau nyebrang ke singapore pun bisa karena di samping hotel ada dermaga penyeberangan. Tempatnya oke, dekat kemana-mana"
"Novriardi A.","9.7","6-May-18","Sangat baik dan nyaman saat tidur."
"Uckhy A.","9.7","22-Mar-18","Sangat memuaskan pelayanan, terima kasih Traveloka"
"Taslim Q.","9.7","Profil ini privat.","Pelayanan baik makanan enak-enak"
"Ambang A. Y.","9.7","19-Jul-18","Kamar hotel dan fasilitas 4/5 sarapan 4/5 5 di samping mal, tapi sayang malnya sepi sekali, dekat dengan restoran seafood yang lumayan ramai."
"ABDUL H.","9.7","21-Jun-18","Aman, nyaman dan makanan yang memuaskan."
"Johan","9.7","11-Dec-18","Kamarnya minimanis, bersih, menyenangkan. Tidak salah lagi kalau menginap di Swiss-Belhotel, sangat nyaman."
"Septiani I. W.","9.7","17-Sep-18",""
"Damayanti","9.7","10-Mar-19",""
"SYAIFUL I.","9.7","5-Feb-19","Pelayanan bagus, tempat strategis kamar luas dan bersih dan nyaman. Sarapannya oke menunya dan rasanya. Tempat pertemuan juga oke"
"Jasman L. G.","9.7","3-Jan-19","Hotelnya nyaman, bersih dan makanannya enak."
"Nena","9.7","15-Jun-19","Sangat dekat dengan harbour bay, jadi gampang pas mau ke Singapore. Hotel bagus, kamar nyaman, kasur besar, staf ramah dan sangat membantu, sarapan enak banyak menunya. Cukup terjangkau juga. Overall menyenangkan."
"Agus S.","9.7","22-Dec-19","Room sangat bagus dan luas, hanya saja lorongnya jauh dari lift, sarapan kurang variasi."
"Djulita D.","9.7","21-Feb-20","Kamar hotel bersih, menu sarapannya enak dan pilihan menunya banyak, rapi tatanya."
"Khairunnisa A.","9.7","5-Sep-20","Hotel yang nyaman dengan harga yang terjàngkau, fasilitas baru, bersih dan pelayanan prima. Hotel terbaik tidak usah diragukan lagi."
"Syukria F.","9.7","5-Aug-20","Pas banget untuk staycation yang sedang malas ke resort karena pasti crowded for the long weekend, fasilitas super keren lengkap banget. Dan enak untuk jogging di sekitaran bayfront mal! definitely will come back again."
"muhamad s. B. B.","9.7","Profil ini privat.",""
"Tia M. R.","9.7","23-Mar-21","1st time stay disini, FO yg cewe pas c/i juga ramah bnget, karena kamar belum ready jd c/i nya sore deh tp sama staff sore juga ramah ditanya request ny apa & semua dikasih, bfast juga enak staff-nya juga semua pd ramah ya the best deh , pasti bakal balik lg buat stay disini ❤️"
"Vera A. O.","9.7","10-Mar-21",""
"Delvina","9.7","16-May-21","Sangat menyenangkan sekali bisa menginap di Swiss-Belhotel, kamar yang nyaman dan petugas hotel yang sangat ramah."
"etycha l. h.","9.7","16-May-21","Kamar bersih, staff ramah, sarapan enak & bervariasi 🙂"
"raditya a.","9.7","15-May-21","Kamarnya nyaman dan luas. Sesuai dengan gambar dan deskripsi. Sangat cocok untuk liburan bersama keluarga terutama yang membawa anak"
"Ferdinan L.","9.7","19-Apr-21","Tempat nyaman, bersih pelayanan baik."
"Nidya A.","9.7","25-May-21","Kamar nyaman dan bersih, tapi sarapannya jam 7.30 ada beberapa yang sudah habis, lambat di isi."
"widia s.","9.7","21-May-21","Hotel nyaman di Batam, sudah 2 kali menginap di sini, kamar bersih, pelayan sangat ramah, untuk mencari makan sangat mudah."
"Stevanie l.","9.7","19-May-21","Hotel oke banget untuk harga segitu , cuma ac nya kmren saya dpt yg kurang dingin"
"Fajar P. T. H.","9.7","24-Jul-21","Pelayanan baik, ramah dan jelas saat memberikan informasi, fast respone untuk setiap keluhan dari tamu. Kebersihan dan kerapihan kamar baik."
"Endang A.","9.7","18-Jul-21","Saya sangat puas dengan pelayanan di hotel ini."
"Fajar","9.7","11-Jul-21","Lokasi yang sangat strategis. Kamar yang menurut saya sangat mewah dengan kelas deluxe."
"Agiel W.","9.7","21-Oct-21",""
"FEBRIYANSYAH S.","9.7","4-Sep-21","Pelayanannya ramah, kamar bersih."
"Pauline T.","9.7","22-Dec-21","Hotelnya mevvah, pelayanan bagus, sarapan enak, lokasi strategis. Bagus banget lah pokoknya."
"indra p.","9.7","11-Dec-21","Alhamdulillah hotelnya bersih dan menyenangkan."
"Doni P.","9.7","11-Dec-21","Saya sangat menikmati menginap di sini."
"Merico A.","9.7","15-Nov-21","Swissbel hotel habour bay memiliki kualitas pelayanan, kenyamanan kamar dan kualitas makanan yang sangat baik dan berada di lokasi strategis pusat hiburan dan kuliner di slaah satu sudut kota batam. Hal yang kurang adalah kasur twin bed yang berukuran terlalu kecil."
"Rosalina A.","9.7","14-Mar-22","Nyaman & bersih, makanannya enak. Terima kasih."
"Pebry T.","9.7","10-Jan-22","Memang cocoklah untuk staycation, dikawasan yang aman, rame dan banyak tempat buat yang suka cari hiburan malam, sarapan pagi termasuk best lah, semoga bisa mampir lagi."
"Yogi S.","9.7","Profil ini privat.","Bersih, nyaman, view yang bagus, petugas yang friendly dan mengakomodasi keinginan kita. Thank you."
"seng k.","9.7","12-Jul-22","Kamar sesuai pesanan. Bersih. Sarapan pagi banyak pilihan. Pokoknya mantap."
"Martinus I.","9.7","24-May-22","Lokasi strategis, ke harbour bay tinggal jalan kaki saja. Hotel bagus dan terawat. Resepsionisnya juga sangat ramah dan membantu. Kamar diberi yang view city, bisa lihat hotel yang bentuknya kapal. Pasti kembali kesini jika ke Batam. Meja kerja di kamar juga sangat mumpuni untuk menyelesaikan pekerjaan di hotel."
"seng k.","9.7","12-Jul-22","Kamar sesuai pesanan. Bersih. Sarapan pagi banyak pilihan. Pokoknya mantap."
"Martinus I.","9.7","24-May-22","Lokasi strategis, ke harbour bay tinggal jalan kaki saja. Hotel bagus dan terawat. Resepsionisnya juga sangat ramah dan membantu. Kamar diberi yang view city, bisa lihat hotel yang bentuknya kapal. Pasti kembali kesini jika ke Batam. Meja kerja di kamar juga sangat mumpuni untuk menyelesaikan pekerjaan di hotel."
"Rosalina A.","9.7","14-Mar-22","Nyaman & bersih, makanannya enak. Terima kasih."
"Pebry T.","9.7","10-Jan-22","Memang cocoklah untuk staycation, dikawasan yang aman, rame dan banyak tempat buat yang suka cari hiburan malam, sarapan pagi termasuk best lah, semoga bisa mampir lagi."
"Yogi S.","9.7","Profil ini privat.","Bersih, nyaman, view yang bagus, petugas yang friendly dan mengakomodasi keinginan kita. Thank you."
"Rosalina A.","9.7","14-Mar-22","Nyaman & bersih, makanannya enak. Terima kasih."
"Pebry T.","9.7","10-Jan-22","Memang cocoklah untuk staycation, dikawasan yang aman, rame dan banyak tempat buat yang suka cari hiburan malam, sarapan pagi termasuk best lah, semoga bisa mampir lagi."
"Yogi S.","9.7","Profil ini privat.","Bersih, nyaman, view yang bagus, petugas yang friendly dan mengakomodasi keinginan kita. Thank you."
"Pauline T.","9.7","22-Dec-21","Hotelnya mevvah, pelayanan bagus, sarapan enak, lokasi strategis. Bagus banget lah pokoknya."
"indra p.","9.7","11-Dec-21","Alhamdulillah hotelnya bersih dan menyenangkan."
"Doni P.","9.7","11-Dec-21","Saya sangat menikmati menginap di sini."
"Merico A.","9.7","15-Nov-21","Swissbel hotel habour bay memiliki kualitas pelayanan, kenyamanan kamar dan kualitas makanan yang sangat baik dan berada di lokasi strategis pusat hiburan dan kuliner di slaah satu sudut kota batam. Hal yang kurang adalah kasur twin bed yang berukuran terlalu kecil."
"Pauline T.","9.7","22-Dec-21","Hotelnya mevvah, pelayanan bagus, sarapan enak, lokasi strategis. Bagus banget lah pokoknya."
"indra p.","9.7","11-Dec-21","Alhamdulillah hotelnya bersih dan menyenangkan."
"Doni P.","9.7","11-Dec-21","Saya sangat menikmati menginap di sini."
"Merico A.","9.7","15-Nov-21","Swissbel hotel habour bay memiliki kualitas pelayanan, kenyamanan kamar dan kualitas makanan yang sangat baik dan berada di lokasi strategis pusat hiburan dan kuliner di slaah satu sudut kota batam. Hal yang kurang adalah kasur twin bed yang berukuran terlalu kecil."
"Agiel W.","9.7","21-Oct-21",""
"FEBRIYANSYAH S.","9.7","4-Sep-21","Pelayanannya ramah, kamar bersih."
"Agiel W.","9.7","21-Oct-21",""
"FEBRIYANSYAH S.","9.7","4-Sep-21","Pelayanannya ramah, kamar bersih."
"Fajar P. T. H.","9.7","24-Jul-21","Pelayanan baik, ramah dan jelas saat memberikan informasi, fast respone untuk setiap keluhan dari tamu. Kebersihan dan kerapihan kamar baik."
"Endang A.","9.7","18-Jul-21","Saya sangat puas dengan pelayanan di hotel ini."
"Fajar","9.7","11-Jul-21","Lokasi yang sangat strategis. Kamar yang menurut saya sangat mewah dengan kelas deluxe."
"Fajar P. T. H.","9.7","24-Jul-21","Pelayanan baik, ramah dan jelas saat memberikan informasi, fast respone untuk setiap keluhan dari tamu. Kebersihan dan kerapihan kamar baik."
"Endang A.","9.7","18-Jul-21","Saya sangat puas dengan pelayanan di hotel ini."
"Fajar","9.7","11-Jul-21","Lokasi yang sangat strategis. Kamar yang menurut saya sangat mewah dengan kelas deluxe."
"Nidya A.","9.7","25-May-21","Kamar nyaman dan bersih, tapi sarapannya jam 7.30 ada beberapa yang sudah habis, lambat di isi."
"widia s.","9.7","21-May-21","Hotel nyaman di Batam, sudah 2 kali menginap di sini, kamar bersih, pelayan sangat ramah, untuk mencari makan sangat mudah."
"Stevanie l.","9.7","19-May-21","Hotel oke banget untuk harga segitu , cuma ac nya kmren saya dpt yg kurang dingin"
"Nidya A.","9.7","25-May-21","Kamar nyaman dan bersih, tapi sarapannya jam 7.30 ada beberapa yang sudah habis, lambat di isi."
"widia s.","9.7","21-May-21","Hotel nyaman di Batam, sudah 2 kali menginap di sini, kamar bersih, pelayan sangat ramah, untuk mencari makan sangat mudah."
"Stevanie l.","9.7","19-May-21","Hotel oke banget untuk harga segitu , cuma ac nya kmren saya dpt yg kurang dingin"
"Delvina","9.7","16-May-21","Sangat menyenangkan sekali bisa menginap di Swiss-Belhotel, kamar yang nyaman dan petugas hotel yang sangat ramah."
"etycha l. h.","9.7","16-May-21","Kamar bersih, staff ramah, sarapan enak & bervariasi 🙂"
"raditya a.","9.7","15-May-21","Kamarnya nyaman dan luas. Sesuai dengan gambar dan deskripsi. Sangat cocok untuk liburan bersama keluarga terutama yang membawa anak"
"Ferdinan L.","9.7","19-Apr-21","Tempat nyaman, bersih pelayanan baik."
"Delvina","9.7","16-May-21","Sangat menyenangkan sekali bisa menginap di Swiss-Belhotel, kamar yang nyaman dan petugas hotel yang sangat ramah."
"etycha l. h.","9.7","16-May-21","Kamar bersih, staff ramah, sarapan enak & bervariasi 🙂"
"raditya a.","9.7","15-May-21","Kamarnya nyaman dan luas. Sesuai dengan gambar dan deskripsi. Sangat cocok untuk liburan bersama keluarga terutama yang membawa anak"
"Ferdinan L.","9.7","19-Apr-21","Tempat nyaman, bersih pelayanan baik."
"Tia M. R.","9.7","23-Mar-21","1st time stay disini, FO yg cewe pas c/i juga ramah bnget, karena kamar belum ready jd c/i nya sore deh tp sama staff sore juga ramah ditanya request ny apa & semua dikasih, bfast juga enak staff-nya juga semua pd ramah ya the best deh , pasti bakal balik lg buat stay disini ❤️"
"Vera A. O.","9.7","10-Mar-21",""
"Tia M. R.","9.7","23-Mar-21","1st time stay disini, FO yg cewe pas c/i juga ramah bnget, karena kamar belum ready jd c/i nya sore deh tp sama staff sore juga ramah ditanya request ny apa & semua dikasih, bfast juga enak staff-nya juga semua pd ramah ya the best deh , pasti bakal balik lg buat stay disini ❤️"
"Vera A. O.","9.7","10-Mar-21",""
"Khairunnisa A.","9.7","5-Sep-20","Hotel yang nyaman dengan harga yang terjàngkau, fasilitas baru, bersih dan pelayanan prima. Hotel terbaik tidak usah diragukan lagi."
"Syukria F.","9.7","5-Aug-20","Pas banget untuk staycation yang sedang malas ke resort karena pasti crowded for the long weekend, fasilitas super keren lengkap banget. Dan enak untuk jogging di sekitaran bayfront mal! definitely will come back again."
"muhamad s. B. B.","9.7","Profil ini privat.",""
"Khairunnisa A.","9.7","5-Sep-20","Hotel yang nyaman dengan harga yang terjàngkau, fasilitas baru, bersih dan pelayanan prima. Hotel terbaik tidak usah diragukan lagi."
"Syukria F.","9.7","5-Aug-20","Pas banget untuk staycation yang sedang malas ke resort karena pasti crowded for the long weekend, fasilitas super keren lengkap banget. Dan enak untuk jogging di sekitaran bayfront mal! definitely will come back again."
"muhamad s. B. B.","9.7","Profil ini privat.",""
"Djulita D.","9.7","21-Feb-20","Kamar hotel bersih, menu sarapannya enak dan pilihan menunya banyak, rapi tatanya."
"Djulita D.","9.7","21-Feb-20","Kamar hotel bersih, menu sarapannya enak dan pilihan menunya banyak, rapi tatanya."
"Agus S.","9.7","22-Dec-19","Room sangat bagus dan luas, hanya saja lorongnya jauh dari lift, sarapan kurang variasi."
"Agus S.","9.7","22-Dec-19","Room sangat bagus dan luas, hanya saja lorongnya jauh dari lift, sarapan kurang variasi."
"Nena","9.7","15-Jun-19","Sangat dekat dengan harbour bay, jadi gampang pas mau ke Singapore. Hotel bagus, kamar nyaman, kasur besar, staf ramah dan sangat membantu, sarapan enak banyak menunya. Cukup terjangkau juga. Overall menyenangkan."
"Nena","9.7","15-Jun-19","Sangat dekat dengan harbour bay, jadi gampang pas mau ke Singapore. Hotel bagus, kamar nyaman, kasur besar, staf ramah dan sangat membantu, sarapan enak banyak menunya. Cukup terjangkau juga. Overall menyenangkan."
"Damayanti","9.7","10-Mar-19",""
"SYAIFUL I.","9.7","5-Feb-19","Pelayanan bagus, tempat strategis kamar luas dan bersih dan nyaman. Sarapannya oke menunya dan rasanya. Tempat pertemuan juga oke"
"Jasman L. G.","9.7","3-Jan-19","Hotelnya nyaman, bersih dan makanannya enak."
"Damayanti","9.7","10-Mar-19",""
"SYAIFUL I.","9.7","5-Feb-19","Pelayanan bagus, tempat strategis kamar luas dan bersih dan nyaman. Sarapannya oke menunya dan rasanya. Tempat pertemuan juga oke"
"Jasman L. G.","9.7","3-Jan-19","Hotelnya nyaman, bersih dan makanannya enak."
"Johan","9.7","11-Dec-18","Kamarnya minimanis, bersih, menyenangkan. Tidak salah lagi kalau menginap di Swiss-Belhotel, sangat nyaman."
"Septiani I. W.","9.7","17-Sep-18",""
"Johan","9.7","11-Dec-18","Kamarnya minimanis, bersih, menyenangkan. Tidak salah lagi kalau menginap di Swiss-Belhotel, sangat nyaman."
"Septiani I. W.","9.7","17-Sep-18",""
"Taslim Q.","9.7","Profil ini privat.","Pelayanan baik makanan enak-enak"
"Ambang A. Y.","9.7","19-Jul-18","Kamar hotel dan fasilitas 4/5 sarapan 4/5 5 di samping mal, tapi sayang malnya sepi sekali, dekat dengan restoran seafood yang lumayan ramai."
"ABDUL H.","9.7","21-Jun-18","Aman, nyaman dan makanan yang memuaskan."
"Taslim Q.","9.7","Profil ini privat.","Pelayanan baik makanan enak-enak"
"Ambang A. Y.","9.7","19-Jul-18","Kamar hotel dan fasilitas 4/5 sarapan 4/5 5 di samping mal, tapi sayang malnya sepi sekali, dekat dengan restoran seafood yang lumayan ramai."
"ABDUL H.","9.7","21-Jun-18","Aman, nyaman dan makanan yang memuaskan."
"Yiq A.","9.7","8-May-18","Tersedia banyak fasilitas di sekitar hotel, spa, pub, restoran seafood yang oke, tinggal jalan kaki dari hotel, supermaket bahkan kalau kita mau nyebrang ke singapore pun bisa karena di samping hotel ada dermaga penyeberangan. Tempatnya oke, dekat kemana-mana"
"Novriardi A.","9.7","6-May-18","Sangat baik dan nyaman saat tidur."
"Uckhy A.","9.7","22-Mar-18","Sangat memuaskan pelayanan, terima kasih Traveloka"
"Yiq A.","9.7","8-May-18","Tersedia banyak fasilitas di sekitar hotel, spa, pub, restoran seafood yang oke, tinggal jalan kaki dari hotel, supermaket bahkan kalau kita mau nyebrang ke singapore pun bisa karena di samping hotel ada dermaga penyeberangan. Tempatnya oke, dekat kemana-mana"
"Novriardi A.","9.7","6-May-18","Sangat baik dan nyaman saat tidur."
"Uckhy A.","9.7","22-Mar-18","Sangat memuaskan pelayanan, terima kasih Traveloka"
"Wijayanti W.","9.7","7-Feb-18","Kamarnya bersih dan wangi, pelayanannya bagus dan makanan enak"
"Ozy M.","9.7","23-Jan-18","Over all semuanya bagus. Hanya saja transport keluar dari hotel agak sulit."
"dicky j.","9.7","21-Oct-17","Variasi sarapannya banyak. Bersih, fast respon"
"Wijayanti W.","9.7","7-Feb-18","Kamarnya bersih dan wangi, pelayanannya bagus dan makanan enak"
"Ozy M.","9.7","23-Jan-18","Over all semuanya bagus. Hanya saja transport keluar dari hotel agak sulit."
"dicky j.","9.7","21-Oct-17","Variasi sarapannya banyak. Bersih, fast respon"
"hapsari k. p.","9.7","9-May-17","Hotelnya enak, nyaman, dekat dengan pelabuhan"
"hapsari k. p.","9.7","9-May-17","Hotelnya enak, nyaman, dekat dengan pelabuhan"
"Andry J.","9.7","15-Mar-17","Bagus..recommended banget deh..mantap.."
"andri p.","9.7","2-Mar-17","Asik lokasinya,, pelayannya ramah2"
"Guest","9.7","19-Jan-17","Bagus dan nyaman, makanan kurang pas dan tidak lengkap."
"Andry J.","9.7","15-Mar-17","Bagus..recommended banget deh..mantap.."
"andri p.","9.7","2-Mar-17","Asik lokasinya,, pelayannya ramah2"
"Guest","9.7","19-Jan-17","Bagus dan nyaman, makanan kurang pas dan tidak lengkap."
"Guest","9.7","4-Jan-17","HP saya hilang mereka tanggap dan mendapatkan HP saya kembali."
"Jeanny A.","9.7","16-Dec-16","Swiss bell overall good apalagi sarapannya enak semua..cuma kemarin nginep disini agak berisik krna dentuman pintu krna kamar saya berada pas di depan pintu staff bunyi gede sampe anak saya kaget..."
"Guest","9.7","4-Jan-17","HP saya hilang mereka tanggap dan mendapatkan HP saya kembali."
"Jeanny A.","9.7","16-Dec-16","Swiss bell overall good apalagi sarapannya enak semua..cuma kemarin nginep disini agak berisik krna dentuman pintu krna kamar saya berada pas di depan pintu staff bunyi gede sampe anak saya kaget..."
"Guest","9.7","3-Sep-16","Lokasi bagus, bersih dan breakfastnya OK. Stafnya friendly."
"Iqram s. p.","9.7","20-Aug-16","Nyaman,bersih, makanan enak, lokasi bagus"
"Guest","9.7","3-Sep-16","Lokasi bagus, bersih dan breakfastnya OK. Stafnya friendly."
"Iqram s. p.","9.7","20-Aug-16","Nyaman,bersih, makanan enak, lokasi bagus"
"Ericcson E.","9.7","9-May-16","Bagus dan memuaskan sangat hotel disana"
"Himawan H.","9.7","2-Apr-16","Hotel nya nyaman dan bersih, walking distance ke pelabuhan kapal ke spore dan cinema blitz kalau lagi pengen nonton. Nice and easy"
"Ericcson E.","9.7","9-May-16","Bagus dan memuaskan sangat hotel disana"
"Himawan H.","9.7","2-Apr-16","Hotel nya nyaman dan bersih, walking distance ke pelabuhan kapal ke spore dan cinema blitz kalau lagi pengen nonton. Nice and easy"
"Ferry T.","9.7","26-Apr-23","Ruangan itu luas. Hotel ini dekat dengan pelabuhan dan terminal ferry."
"Sutrisno A. U.","9.7","3-Aug-22","Hotel ini memberi saya pengalaman yang benar-benar nyaman, proses check-in sederhana dan cepat dengan resepsionis yang ramah dan membantu, saya bahkan mendapat upgrade kamar tanpa biaya tambahan (Terima kasih Adit!) Semua kru hotel juga sangat ramah dan menyenangkan bahkan hanya untuk memasuki hotel yang para tamu selalu dibantu untuk membuka pintu (terlalu banyak tapi baik-baik saja :). Menu sarapannya juga enak dan cukup lengkap. Terima kasih Swiss-Belhotel Harbour Bay atas keramahannya! Pertahankan kerja bagus!"
"James A.","9.7","4-Jun-22","Kamar bersih & luas. Sarapan segar & cukup dekat dengan Pelabuhan Batam & kuliner. Akan tinggal untuk perjalanan berikutnya."
"Kristianto","9.7","31-May-22","Suka sekali! Pasti akan menginap lagi!"
"Bambang H. R.","9.7","3-Oct-21","Hotel terbaik jika menginap di Batam, lokasi strategis, staf ramah."
"Ferry T.","9.7","26-Apr-23","Ruangan itu luas. Hotel ini dekat dengan pelabuhan dan terminal ferry."
"Sutrisno A. U.","9.7","3-Aug-22","Hotel ini memberi saya pengalaman yang benar-benar nyaman, proses check-in sederhana dan cepat dengan resepsionis yang ramah dan membantu, saya bahkan mendapat upgrade kamar tanpa biaya tambahan (Terima kasih Adit!) Semua kru hotel juga sangat ramah dan menyenangkan bahkan hanya untuk memasuki hotel yang para tamu selalu dibantu untuk membuka pintu (terlalu banyak tapi baik-baik saja :). Menu sarapannya juga enak dan cukup lengkap. Terima kasih Swiss-Belhotel Harbour Bay atas keramahannya! Pertahankan kerja bagus!"
"James A.","9.7","4-Jun-22","Kamar bersih & luas. Sarapan segar & cukup dekat dengan Pelabuhan Batam & kuliner. Akan tinggal untuk perjalanan berikutnya."
"Kristianto","9.7","31-May-22","Suka sekali! Pasti akan menginap lagi!"
"Bambang H. R.","9.7","3-Oct-21","Hotel terbaik jika menginap di Batam, lokasi strategis, staf ramah."
"iman s. n.","9.7","3-May-21","Kamar saya adalah luar biasa, sangat bersih karpet dan semua dilengkapi. Apakah harus pelayanan hotel bintang 5."
"Oki Y.","9.7","18-Oct-20","tempat yang bagus untuk tinggal, kamar yang luas dan bersih. Secara keseluruhan nyaman dan cukup memuaskan, satu-satunya kritik saya adalah tolong perhatikan detail terbaik. Saya memesan kamar dengan 1 tempat tidur besar, dan ternyata kamar tersebut memiliki tempat tidur twin yang digabungkan menjadi 1. Saya tidak keberatan karena tempat tidurnya sangat nyaman dan saya tidak ingin tidur di tempat tidur twin yang digabungkan, tetapi setelah memindahkan tempat tidur tolong pastikan untuk membersihkan lantai di bawahnya karena saya melihat ada debu dan kotoran di sana. Juga, AC di kamar saya tidak cukup dingin untuk preferensi saya meskipun saya mengaturnya ke suhu terendah dan pengaturan kipas tertinggi (suhu kamar masih 28,5 C bahkan beberapa jam setelah menyalakan AC). Kamar mandi sangat bersih, pelayanannya mantap. Lokasi juga strategis karena banyak restoran dan bar di dekatnya."
"iman s. n.","9.7","3-May-21","Kamar saya adalah luar biasa, sangat bersih karpet dan semua dilengkapi. Apakah harus pelayanan hotel bintang 5."
